Datetime,Tweet Id,Text,Username,Type,Slow,Accident,Closure,Lane Reduction,Ramp,Stunt Driving
2021-09-22 00:29:39+00:00,1440473331438788624,"#StuntDriving today
Airport Pkway- 136km in a 70km/h area
Bronson Ave- 141km in a 70km/h area
Licences suspended for 30 days and vehicles impounded for 14.
#Slowdown 
@OttawaPolice https://t.co/lSkDgtLAwm",OPSTrafficCM,,Slow,,,,,Stunt Driving
2021-09-21 17:25:57+00:00,1440366704152891392,"🚗 intercepté pour charge non sécurisée, hier, sur le chemin Walkley/ St-Laurent
Plaque expirée depuis 2018
Conducteur suspendu
Véhicule non assuré
Accusations appropriées furent portées . https://t.co/AakBcRVGmt",OPSTrafficCM,,,,,,,
2021-09-21 17:23:26+00:00,1440366069936386049,"🚗 stopped for insecure load yesterday Walkley rd/St-laurent.
Plates expired in 2018
Driver suspended
Vehicle not insured. 
Driver and owner were charged accordingly.
@OttawaPolice https://t.co/wS2kg5hJLE",OPSTrafficCM,,,,,,,
2021-09-19 01:27:22+00:00,1439400694092550151,"#ManœuvresPérilleuses sur la 174 cette semaine: 133km, 153km, 135km et 132km dans une zone de 80km/hr avec des ouvriers présents.
#ManœuvresPérilleuses sur le chemin Heron ajd: 118km et 141km dans une zone de 60 km/hr.
Permis suspendus pour 30jrs et véhicules saisis pour 14.",OPSTrafficCM,,,,,,,
2021-09-19 01:27:22+00:00,1439400692293251075,"#StuntDriving on the 174 this week
133km, 153km, 135km and 132km all in an 80km/h zone with workers present.
#StuntDriving on Heron rd/Prince of Wales today: 118km and 141km both in a 60 km/h area.
Licences suspended for 30 days and vehicles impounded for 14.
@OttawaPolice https://t.co/oFWHKD8qOI",OPSTrafficCM,,,,,,,Stunt Driving
2021-09-17 16:49:20+00:00,1438907936919674885,"Corrections #manœuvrespérilleuses sur le chemin Heron hier.
2 G2 intercepté roulant 113km et 115km dans une zone de 60km/hr.
Les deux permis furent suspendus pour 30 jrs et les véhicule saisis pour 14.
#Ralentissez",OPSTrafficCM,,,,,,,
2021-09-17 16:48:41+00:00,1438907774042267655,"Correction #stuntdriving on Heron Rd yesterday
G2 driver 113km in 60km/h and another G2 115km in an 60km/h area.
Both licences suspended for 30 days and vehicles impounded for 14.
#Slowdown 
@OttawaPolice #",OPSTrafficCM,,Slow,,,,,
2021-09-17 11:12:09+00:00,1438823083515781124,"#manœuvrespérilleuses sur le chemin Heron hier.
2 G2 intercepté roulant 113km et 115km dans une zone de 80km/hr.
Les deux permis furent suspendus pour 30 jrs et les véhicule saisis pour 14.
#Ralentissez",OPSTrafficCM,,,,,,,
2021-09-15 17:25:54+00:00,1438192364338679811,"G2 dont le permis est suspendu depuis février, fut intercepté au volant d'un véhicule sur Woodroffe/Carling ajd.
Véhicule saisi pour 7jrs et un RV à la cour.",OPSTrafficCM,,,,,,,
2021-09-15 17:25:54+00:00,1438192363147517957,"G2 who has been suspended since February was stopped driving on Woodroffe/ Carling today.
Vehicle impounded for 7 days and court date issued.
@OttawaPolice",OPSTrafficCM,,,,,,,
2021-09-12 17:17:43+00:00,1437103140885630986,"61 accusations furent portées incluant 4 pour #manœuvrespérilleuses 32 pour vitesse, 5 silencieux non conforme, 1 Scooter Électrique sur trottoire et 1 personne a eu son permis suspendu pour 3 jrs pour un ""avertissement"" suite à un échantillon d'haleine.
#ConduisezPrudemment",OPSTrafficCM,,,,,,,
2021-09-12 17:17:43+00:00,1437103139900043268,"Nos agents étaient présents à Barrhaven, Kanata, Orléans et le Marché By dans la cadre du projet #NoiseMaker cette fds",OPSTrafficCM,,,,,,,
